ink,0,1,2,3,4,5,6,7,8,9
8425,0,1,0,0,0,0,0,0,0,0
8438,0,1,0,0,0,0,0,0,0,0
8455,0,1,0,0,0,0,0,0,0,0
8457,0,1,0,0,0,0,0,0,0,0
8479,0,1,0,0,0,0,0,0,0,0
8480,0,1,0,0,0,0,0,0,0,0
8484,0,1,0,0,0,0,0,0,0,0
8485,0,1,0,0,0,0,0,0,0,0
8501,0,2,0,0,0,0,0,0,0,0
8503,0,1,0,0,0,0,0,0,0,0
8557,0,1,0,0,0,0,0,0,0,0
8558,0,1,0,0,0,0,0,0,0,0
8571,0,1,0,0,0,0,0,0,0,0
8596,0,1,0,0,0,0,0,0,0,0
8607,0,1,0,0,0,0,0,0,0,0
8616,0,1,0,0,0,0,0,0,0,0
8620,0,1,0,0,0,0,0,0,0,0
8625,0,1,0,0,0,0,0,0,0,0
8629,0,1,0,0,0,0,0,0,0,0
8631,0,1,0,0,0,0,0,0,0,0
8637,0,1,0,0,0,0,0,0,0,0
8648,0,1,0,0,0,0,0,0,0,0
8663,0,1,0,0,0,0,0,0,0,0
8665,0,1,0,0,0,0,0,0,0,0
8682,0,1,0,0,0,0,0,0,0,0
8690,0,1,0,0,0,0,0,0,0,0
8702,0,1,0,0,0,0,0,0,0,0
8705,0,2,0,0,0,0,0,0,0,0
8730,0,0,0,0,0,1,0,0,0,0
8749,0,1,0,0,0,0,0,0,0,0
8750,0,0,0,1,0,0,0,0,0,0
8760,0,1,0,0,0,0,0,0,0,0
8789,0,1,0,0,0,0,0,0,0,0
8792,0,1,0,0,0,0,0,0,0,0
8795,0,1,0,0,0,0,0,0,0,0
8801,0,0,0,0,0,0,0,1,0,0
8802,0,1,0,0,0,0,0,0,0,0
8835,0,1,0,0,0,0,0,0,0,0
8852,0,1,0,0,0,0,0,0,0,0
8856,0,1,0,0,0,0,0,0,0,0
8859,0,1,0,0,0,0,0,0,0,0
8860,0,1,0,0,0,0,0,0,0,0
8863,0,1,0,0,0,0,0,0,0,0
8872,0,1,0,0,0,0,0,0,0,0
8877,0,1,0,0,0,0,0,0,0,0
8879,0,1,0,0,0,0,0,0,0,0
8883,0,1,0,0,0,0,0,0,0,0
8884,0,1,0,0,0,0,0,0,0,1
8897,0,1,0,0,0,0,0,0,0,0
8902,0,2,0,0,0,0,0,0,0,0
8930,0,2,0,0,0,0,0,0,0,0
8934,0,1,0,0,0,0,0,0,0,0
8935,0,1,0,0,0,0,0,0,0,0
8944,0,1,0,0,0,0,0,0,0,0
8952,0,1,0,0,0,0,0,0,0,0
8954,0,1,0,0,0,0,0,0,0,0
8972,0,1,0,0,0,0,0,0,0,0
8974,0,1,0,0,0,0,0,0,0,0
8977,0,1,0,0,0,0,0,0,0,0
8980,0,1,0,0,0,0,0,0,0,0
8984,0,0,0,0,0,1,0,0,0,0
8998,0,1,0,0,0,0,0,0,0,0
9008,0,2,0,0,0,0,0,0,0,0
9024,0,1,0,0,0,0,0,0,0,0
9025,0,1,0,0,0,0,0,0,0,0
9028,0,1,0,0,0,0,0,0,0,0
9033,0,0,1,0,0,0,0,0,0,0
9034,0,1,0,0,0,0,0,0,0,0
9039,0,2,0,0,0,0,0,0,0,0
9042,0,1,0,0,0,0,0,0,0,0
9043,0,1,0,0,0,0,0,0,0,0
9047,0,1,0,0,0,0,0,0,0,0
9050,0,1,0,0,0,0,0,0,0,0
9063,0,1,1,0,0,0,0,0,0,0
9082,0,1,0,0,0,0,0,0,0,0
9085,0,1,0,0,0,0,0,0,0,0
9090,0,1,0,0,0,0,0,0,0,0
9104,0,1,0,0,0,0,0,0,0,0
9105,0,1,0,0,0,0,0,0,0,0
9113,0,1,0,0,0,0,0,0,0,0
9121,0,1,0,0,0,0,0,0,0,0
9124,0,1,0,0,0,0,0,0,0,0
9125,0,1,0,0,0,0,0,0,0,0
9128,0,1,0,0,0,0,0,0,0,0
9129,0,1,0,0,0,0,0,0,0,0
9131,0,1,0,0,0,0,0,0,0,0
9135,0,1,0,0,0,0,0,0,0,0
9144,0,1,0,0,0,0,0,0,0,0
9147,0,1,0,0,0,0,0,0,0,0
9156,0,1,0,0,0,0,0,0,0,0
9157,0,3,0,0,0,0,0,0,0,0
9159,0,1,0,0,0,0,0,0,0,0
9160,0,2,0,0,0,0,0,0,0,0
9164,0,2,0,0,0,0,0,0,0,0
9187,0,1,0,0,0,0,0,0,0,0
9193,0,2,0,0,0,0,0,0,0,0
9204,0,1,0,0,0,0,0,0,0,0
9205,0,0,0,1,0,0,0,0,0,0
9206,0,1,0,0,0,0,0,0,0,0
9209,0,1,0,0,0,0,0,0,0,0
9217,0,2,0,0,0,0,0,0,0,0
9218,0,1,0,0,0,0,0,0,0,0
9237,0,1,0,0,0,0,0,0,0,0
9253,0,1,0,0,0,0,0,0,0,0
9257,0,1,0,0,0,0,0,0,0,0
9264,0,1,0,0,0,0,0,0,0,0
9266,0,1,0,0,0,0,0,0,0,0
9268,0,1,0,0,0,0,0,0,0,0
9273,0,1,0,0,0,0,0,0,0,0
9284,0,1,0,0,0,0,0,0,0,0
9305,0,1,0,0,0,0,0,0,0,0
9311,0,1,0,0,0,0,0,0,0,0
9325,0,1,0,0,0,0,0,0,0,0
9335,0,1,0,0,0,0,0,1,0,0
9346,0,1,0,0,0,0,0,0,0,0
9356,0,1,0,0,0,0,0,0,0,0
9360,0,0,0,1,0,0,0,0,0,0
9361,0,1,0,0,0,0,0,0,0,0
9366,0,0,0,0,0,0,0,0,0,1
9382,0,1,0,0,0,0,0,0,0,0
9389,0,1,0,0,0,0,0,0,0,0
9397,0,1,0,0,0,0,0,0,0,0
9398,0,1,0,0,0,0,0,0,0,0
9401,0,1,0,0,0,0,0,0,0,0
9409,0,2,0,0,0,0,0,0,0,0
9412,0,1,0,0,0,0,0,0,0,0
9420,0,1,0,0,0,0,0,0,0,0
9446,0,1,0,0,0,0,0,0,0,0
9447,0,1,0,0,0,0,0,0,0,0
9448,0,2,0,0,0,0,0,0,0,0
9450,0,1,0,0,0,0,0,0,0,0
9452,0,1,0,0,0,0,0,0,0,0
9453,0,1,0,0,0,0,0,0,0,0
9460,0,1,0,0,0,0,0,0,0,0
9477,0,1,0,0,0,0,0,0,0,0
9478,0,1,0,0,0,0,0,0,0,0
9481,0,1,0,0,0,0,0,0,0,0
9485,0,1,0,0,0,0,0,0,0,0
9489,0,1,0,0,0,0,0,0,0,0
9500,0,1,0,0,0,0,0,0,0,0
9509,0,1,0,0,0,0,0,0,0,0
9517,0,1,0,0,0,0,0,0,0,0
9529,0,1,0,0,0,0,0,0,0,0
9532,0,1,0,0,0,0,0,0,0,0
9540,0,0,0,0,1,0,0,0,0,0
9544,0,1,0,0,0,0,0,0,0,0
9550,0,1,0,0,0,0,0,0,0,0
9562,0,1,0,0,0,0,0,0,0,0
9563,0,1,0,0,0,0,0,0,0,0
9574,0,0,0,1,0,0,0,0,0,0
9576,0,1,0,0,0,0,0,0,0,0
9581,0,1,0,0,0,0,0,0,0,0
9587,0,1,0,0,0,0,0,0,0,0
9598,0,1,0,0,0,0,0,0,0,0
9613,0,1,0,0,0,0,0,0,0,0
9615,0,1,0,0,0,0,0,0,0,0
9617,0,1,0,0,0,0,0,0,0,0
9621,0,1,0,0,0,0,0,0,0,0
9623,0,1,0,0,0,0,0,0,0,0
9626,0,1,0,0,0,0,0,0,0,0
9629,0,0,0,0,0,1,0,0,0,0
9632,0,0,0,0,0,1,0,0,0,0
9636,0,1,0,0,0,0,0,0,0,0
9638,0,1,0,0,0,0,0,0,0,0
9645,0,1,0,0,0,0,0,0,0,0
9648,0,1,0,0,0,0,0,0,0,0
9657,0,1,0,0,0,0,0,0,0,0
9658,0,1,0,0,0,0,0,0,0,0
9661,0,1,0,0,0,0,0,0,0,0
9662,0,1,0,0,0,0,0,0,0,0
9664,0,1,0,0,0,0,0,0,0,0
9673,0,1,0,0,0,0,0,0,0,0
9676,0,1,0,0,0,0,0,0,0,0
9677,0,1,0,0,0,0,0,0,0,0
9681,0,1,0,0,0,0,0,0,0,0
9690,0,1,0,0,0,0,0,0,0,0
9696,0,1,0,0,0,0,0,0,0,0
9700,0,0,0,0,0,0,0,0,0,1
9714,0,1,0,0,0,0,0,0,0,0
9717,0,1,0,0,0,0,0,0,0,0
9721,0,1,0,0,0,0,0,0,0,0
9729,0,1,0,0,0,0,0,0,0,0
9737,0,1,0,0,0,0,0,0,0,0
9742,0,1,0,0,0,0,0,0,0,0
9751,0,2,0,0,0,0,0,0,0,0
9752,0,1,0,0,0,0,0,0,0,0
9755,0,1,0,0,0,0,0,0,0,0
9760,0,1,0,0,0,0,0,0,0,0
9766,0,1,0,1,0,0,0,0,0,0
9768,0,1,0,0,0,0,0,0,0,0
9770,0,1,0,0,0,0,0,0,0,0
9771,0,1,0,0,0,0,0,0,0,0
9777,0,1,0,0,0,0,0,0,0,0
9780,0,1,0,0,0,0,0,0,0,0
9781,0,1,0,0,0,0,0,0,0,0
9783,0,1,0,0,0,0,0,0,0,0
9784,0,1,0,0,0,0,0,0,0,0
9788,0,1,0,0,0,0,0,0,0,0
9789,0,1,0,0,0,0,0,0,0,0
9794,0,2,0,0,0,0,0,0,0,0
9798,0,1,0,0,0,0,0,0,0,0
9801,0,1,0,0,0,0,0,0,0,0
9802,0,1,0,0,0,0,0,0,0,0
9804,0,1,0,0,0,0,0,0,0,0
9810,0,2,0,0,0,0,0,0,0,0
9814,0,1,0,0,0,0,0,0,0,0
9818,0,1,0,0,0,0,0,0,0,0
9820,0,1,0,0,0,0,0,0,0,0
9825,0,1,0,0,0,0,0,0,0,0
9829,0,1,0,0,0,0,0,0,0,0
9830,0,0,0,0,0,0,0,0,0,1
9831,0,1,0,0,0,0,0,0,0,0
9832,0,0,0,0,1,0,0,0,0,0
9849,0,1,0,0,0,0,0,0,0,0
9855,0,1,0,0,0,0,0,0,0,0
9856,0,1,0,0,0,1,0,0,0,0
9857,0,1,0,0,0,0,0,0,0,0
9868,0,1,0,0,0,0,0,0,0,0
9878,0,1,0,0,0,0,0,0,0,0
9886,0,1,0,0,0,0,0,0,0,0
9890,0,1,0,0,0,0,0,0,0,0
9891,0,1,0,0,0,0,0,0,0,0
9893,0,1,0,0,0,0,0,0,0,0
9894,0,1,0,0,0,0,0,0,0,0
9896,0,2,0,0,0,0,0,0,0,0
9898,0,0,0,0,0,1,0,0,0,0
9900,0,1,0,0,0,0,0,0,0,0
9902,0,1,0,0,0,0,0,0,0,0
9903,0,1,0,0,0,0,0,0,0,0
9907,0,1,0,0,0,0,0,0,0,0
9911,0,1,0,0,0,0,0,0,0,0
9919,0,1,0,0,0,0,0,0,0,0
9926,0,1,0,0,0,0,0,0,0,0
9927,0,2,0,0,0,0,0,0,0,0
9932,0,1,0,0,0,0,0,0,0,0
9934,0,1,0,0,0,0,0,0,0,0
9936,0,1,0,0,0,0,0,0,0,0
9938,0,1,0,0,0,0,0,0,0,0
9953,0,1,0,0,0,0,0,0,0,0
9954,0,0,0,0,0,0,0,1,0,0
9960,0,1,0,0,0,0,0,0,0,0
9966,0,1,0,0,0,0,0,0,0,0
9969,0,1,0,0,0,0,0,0,0,0
9981,0,0,0,0,0,0,0,1,0,0
9989,0,1,0,0,0,0,0,0,0,0
9992,0,1,0,0,0,0,0,0,0,0
9996,0,0,0,0,0,1,0,0,0,0
9997,0,1,0,0,0,0,0,0,0,0
10006,0,1,0,0,0,0,0,0,0,0
10010,0,1,0,0,0,0,0,0,0,0
10019,0,1,0,0,0,0,0,0,0,0
10021,0,1,0,0,0,0,0,0,0,0
10022,0,1,0,0,0,0,0,0,0,0
10023,0,1,0,0,0,0,0,0,0,0
10029,0,1,0,0,0,0,0,0,0,0
10039,0,1,0,0,0,0,0,0,0,0
10045,0,1,0,0,0,0,0,0,0,0
10047,0,1,0,0,0,0,0,0,0,0
10048,0,1,0,0,0,0,0,0,0,0
10051,0,1,0,0,0,0,0,0,0,0
10055,0,2,0,0,0,0,0,0,0,0
10058,0,1,0,0,0,0,0,0,0,0
10062,0,1,0,0,0,0,0,0,0,0
10065,0,3,0,0,0,0,0,0,0,0
10069,0,1,0,0,0,0,0,0,0,0
10082,0,1,0,0,0,0,0,0,0,0
10084,0,1,0,0,0,0,0,0,0,0
10085,0,1,0,0,0,0,0,0,0,0
10086,0,1,0,0,0,0,0,0,0,0
10090,0,1,0,0,0,0,0,0,0,0
10091,0,1,0,0,0,0,0,0,0,0
10097,0,1,0,0,0,0,0,0,0,0
10100,0,2,0,0,0,0,0,0,0,0
10101,0,1,0,0,0,0,0,0,0,0
10102,0,1,0,0,0,0,0,0,0,0
10108,0,1,0,0,0,0,0,0,0,0
10116,0,1,0,0,0,0,0,0,0,0
10122,0,1,0,0,0,0,0,0,0,0
10127,0,1,0,0,0,0,0,0,0,0
10130,0,1,0,0,0,0,0,0,0,0
10133,0,0,0,0,0,1,0,0,0,0
10136,0,0,0,1,0,0,0,0,0,0
10144,0,1,0,0,0,0,0,1,0,0
10149,0,1,0,0,0,0,0,0,0,0
10152,0,1,0,0,0,0,0,0,0,0
10153,0,1,0,0,0,0,0,0,0,0
10164,0,0,0,0,0,0,0,1,0,0
10168,0,0,0,0,0,0,0,1,0,0
10179,0,0,0,0,0,1,0,0,0,0
10183,0,1,0,0,0,0,0,0,0,0
10184,0,1,0,0,0,0,0,0,0,0
10188,0,2,0,0,0,0,0,0,0,0
10190,0,0,0,0,0,1,0,0,0,0
10192,0,2,0,0,0,0,0,0,0,0
10202,0,1,0,0,0,0,0,0,0,0
10203,0,1,0,0,0,0,0,0,0,0
10208,0,0,0,0,0,0,1,0,0,0
10211,0,1,0,0,0,0,0,0,0,0
10219,0,0,0,0,0,0,1,0,0,0
10225,0,0,0,0,0,1,0,0,0,0
10227,0,1,0,0,0,0,0,0,0,0
10230,0,1,0,0,0,0,0,0,0,0
10231,0,1,0,0,0,0,0,0,0,0
10259,0,0,0,0,0,1,0,0,0,0
10263,0,1,0,0,0,0,0,0,0,0
10264,0,1,0,0,0,0,0,0,0,0
10269,0,1,0,0,0,0,0,0,0,0
10281,0,0,0,0,0,1,0,0,0,0
10285,0,1,0,0,0,0,0,0,0,0
10286,0,1,0,0,0,0,0,0,0,0
10287,0,1,0,0,0,0,0,0,0,0
10292,0,2,0,0,0,0,0,0,0,0
10294,0,2,0,0,0,0,0,0,0,0
10297,0,0,0,0,0,1,0,0,0,0
10298,0,1,0,0,0,0,0,0,0,0
10300,0,1,0,0,0,0,0,0,0,0
10303,0,1,0,0,0,0,0,0,0,0
10305,0,1,0,0,0,0,0,0,0,0
10310,0,2,0,0,0,0,0,0,0,0
10315,0,1,0,0,0,0,0,0,0,0
10321,0,1,0,0,0,0,0,0,0,0
10328,0,1,0,0,0,0,0,0,0,0
10332,0,1,0,0,0,0,0,0,0,0
10333,0,2,0,0,0,0,0,0,0,0
10334,0,1,0,0,0,0,0,0,0,0
10337,0,1,0,0,0,0,0,0,0,0
10341,0,2,0,0,0,0,0,0,0,0
10344,0,1,0,0,0,0,0,1,0,0
10350,0,1,0,0,0,0,0,0,0,0
10351,0,1,0,0,0,0,0,0,0,0
10353,0,1,0,0,0,0,0,0,0,0
10358,0,0,0,0,0,0,0,0,1,0
10359,0,1,0,0,0,0,0,0,0,0
10360,0,0,0,0,0,0,0,0,0,1
10370,0,1,0,0,0,0,0,0,0,0
10376,0,1,0,0,0,0,0,0,0,0
10388,0,1,0,0,0,0,0,0,0,0
10391,0,1,0,0,0,0,0,0,0,0
10392,0,1,0,0,1,0,0,0,0,0
10394,0,0,0,0,0,0,0,1,0,0
10397,0,1,0,0,0,0,0,0,0,0
10399,0,1,0,0,0,0,0,0,0,0
10404,0,0,0,0,0,0,0,1,0,0
10405,0,1,0,0,0,0,0,0,0,0
10407,0,1,0,0,0,0,0,0,0,0
10409,0,1,0,0,0,0,0,0,0,0
10411,0,2,0,0,0,0,0,0,0,0
10413,0,1,0,0,0,0,0,0,0,0
10420,0,2,0,0,0,0,0,0,0,0
10424,0,1,0,0,0,0,0,0,0,0
10425,0,2,0,0,0,0,0,0,0,0
10428,0,2,0,0,0,0,0,0,0,0
10429,0,1,0,0,0,0,0,0,0,0
10430,0,0,0,0,0,0,0,1,0,0
10431,0,1,0,0,0,0,0,0,0,0
10439,0,2,0,0,0,0,0,0,0,0
10441,0,1,0,0,0,0,0,0,0,0
10443,0,1,0,0,0,0,0,0,0,0
10445,0,1,0,0,0,0,0,1,0,0
10446,0,1,0,0,0,0,0,0,0,0
10448,0,1,0,0,0,0,0,0,0,0
10450,0,0,0,0,0,0,0,1,0,0
10458,0,1,0,0,0,0,0,0,0,0
10464,0,1,0,0,0,0,0,0,0,0
10471,0,1,0,0,0,0,0,0,0,0
10473,0,1,0,0,0,0,0,0,0,0
10476,0,2,0,0,0,0,0,0,0,0
10478,0,1,0,0,0,0,0,0,0,0
10481,0,1,0,0,0,0,0,0,0,0
10485,0,1,0,0,0,0,0,0,0,0
10491,0,1,0,0,0,0,0,0,0,0
10495,0,0,0,1,0,0,0,0,0,0
10496,0,1,0,0,0,0,0,1,0,0
10497,0,1,0,0,0,0,0,0,0,0
10498,0,1,0,0,0,0,0,0,0,0
10501,0,1,0,0,0,0,0,0,0,0
10502,0,1,0,0,0,0,0,0,0,0
10503,0,1,0,0,0,0,0,0,0,0
10510,0,0,0,0,0,0,0,1,0,0
10511,0,1,0,0,0,0,0,0,0,0
10519,0,1,0,0,0,0,0,0,0,0
10520,0,1,0,0,0,0,0,0,0,1
10521,0,1,0,0,0,0,0,0,0,0
10527,0,1,0,0,0,0,0,0,0,0
10531,0,1,0,0,0,0,0,0,0,0
10532,0,1,0,0,0,0,0,0,0,0
10534,0,1,0,0,0,0,0,0,0,0
10539,0,1,0,0,0,0,0,0,0,1
10545,0,2,0,0,0,0,0,0,0,0
10547,0,1,0,0,0,0,0,0,0,0
10549,0,0,1,0,0,0,0,0,0,0
10550,0,0,0,0,0,0,0,1,0,0
10551,0,1,0,0,0,0,0,0,0,0
10555,0,1,0,0,0,0,0,0,0,0
10556,0,1,0,0,0,0,0,0,0,0
10565,0,0,0,0,0,0,0,1,0,0
10569,0,1,0,0,0,0,0,0,0,0
10573,0,1,0,0,0,0,0,0,0,1
10577,0,3,0,0,0,0,0,0,0,0
10578,0,1,0,0,0,0,0,0,0,0
10587,0,1,0,0,0,0,0,0,0,0
10589,0,1,0,0,0,0,0,0,0,0
10603,0,1,0,0,0,0,0,0,0,0
10607,0,1,0,0,0,0,0,0,0,0
10612,0,1,0,0,0,0,0,0,0,0
10614,0,1,0,0,0,0,0,0,0,0
10618,0,2,0,0,0,0,0,0,0,0
10620,0,2,0,0,0,0,0,0,0,0
10621,0,1,0,0,0,0,0,0,0,0
10624,0,1,0,0,0,0,0,0,0,0
10626,0,1,0,0,0,0,0,0,0,0
10628,0,1,0,0,0,0,0,0,0,0
10635,0,0,0,0,1,0,0,0,0,0
10643,0,1,0,0,0,0,0,0,0,0
10649,0,0,0,0,1,0,0,0,0,0
10652,0,1,0,0,0,0,0,0,0,0
10655,0,0,0,0,0,1,0,0,0,0
10657,0,1,0,0,0,0,0,0,0,0
10658,0,1,0,0,0,0,0,0,0,0
10659,0,1,0,0,0,0,0,0,0,0
10667,0,1,0,0,0,0,0,0,0,0
10671,0,2,0,0,0,0,0,0,0,0
10680,0,1,0,0,0,0,0,0,0,0
10686,0,0,0,0,0,0,1,0,0,0
10687,0,1,0,0,0,0,0,0,0,0
10688,0,1,0,0,0,0,0,0,0,0
10690,0,0,0,0,0,1,0,0,0,0
10691,0,1,0,0,0,0,0,0,0,0
10696,0,1,0,0,0,0,0,0,0,0
10697,0,1,0,0,0,0,0,0,0,0
10700,0,1,0,0,0,0,0,0,0,0
10703,0,1,0,0,0,0,0,0,0,0
10710,0,1,0,0,0,0,0,0,0,0
10716,0,1,0,0,0,0,0,0,0,0
10722,0,1,0,0,0,0,0,0,0,0
10724,0,2,0,0,0,0,0,0,0,0
10726,0,1,0,0,0,0,0,0,0,0
10729,0,0,0,0,0,0,0,1,0,0
10734,0,2,0,0,0,0,0,0,0,0
10736,0,0,0,0,1,0,0,0,0,0
10745,0,1,0,0,0,0,0,1,0,0
10747,0,1,0,0,0,0,0,0,0,0
10748,0,0,0,0,0,1,0,0,0,0
10751,0,0,0,1,0,0,0,0,0,0
10754,0,1,0,0,0,0,0,0,0,0
10760,0,1,0,0,0,0,0,0,0,0
10762,0,1,0,0,0,0,0,0,0,0
10766,0,1,0,0,0,0,0,0,0,0
10767,0,1,0,0,0,0,0,0,0,0
10768,0,1,0,0,0,0,0,0,0,0
10769,0,1,0,0,0,0,0,0,0,0
10771,0,1,0,0,0,0,0,0,0,0
10778,0,1,0,0,0,0,0,0,0,0
10783,0,1,0,0,0,0,0,0,0,0
10785,0,1,0,0,0,0,0,0,0,0
10786,0,1,0,0,0,0,0,0,0,0
10788,0,2,0,0,0,0,0,0,0,0
10789,0,3,0,0,0,0,0,0,0,0
10793,0,1,0,0,0,0,0,0,0,0
10798,0,1,0,0,0,0,0,0,0,0
10799,0,1,0,0,0,0,0,0,0,0
10802,0,1,0,0,0,0,0,0,0,0
10804,0,1,0,0,0,0,0,0,0,0
10815,0,1,0,0,0,0,0,0,0,0
10816,0,1,0,0,0,0,0,0,0,0
10818,0,1,0,0,0,0,0,0,0,0
10820,0,1,0,0,0,0,0,0,0,0
10821,0,1,0,0,0,0,0,0,0,0
10822,0,1,0,0,0,0,0,0,0,0
10825,0,1,0,0,0,0,0,0,0,0
10826,0,2,0,0,0,1,0,0,0,0
10829,0,1,0,0,0,0,0,0,0,0
10833,0,0,0,0,0,0,0,1,0,0
10842,0,2,0,0,0,0,0,0,0,0
10843,0,2,0,0,0,0,0,0,0,0
10844,0,1,0,0,0,0,0,0,0,0
10846,0,1,0,0,0,0,0,0,0,0
10847,0,2,0,0,0,0,0,0,0,0
10849,0,2,0,0,0,0,0,0,0,0
10850,0,2,0,0,0,0,0,0,0,0
10851,0,1,0,0,0,0,0,0,0,0
10852,0,1,0,0,0,0,0,0,0,0
10853,0,1,0,0,0,0,0,0,0,0
10857,0,0,0,0,0,0,0,1,0,0
10858,0,3,0,0,0,0,0,0,0,0
10862,0,0,0,0,0,1,0,0,0,0
10864,0,1,0,0,0,0,0,0,0,0
10865,0,1,0,0,0,0,0,0,0,0
10867,0,1,0,0,0,0,0,0,0,0
10872,0,1,0,0,0,0,0,0,0,0
10875,0,1,0,0,0,0,0,0,0,0
10880,0,1,0,0,0,0,0,0,0,0
10885,0,1,0,0,0,0,0,0,0,0
10887,0,0,0,0,0,0,0,1,0,0
10888,0,2,0,0,0,0,0,0,0,0
10890,0,1,0,0,0,0,0,0,0,0
10891,0,1,0,0,0,0,0,0,0,0
10903,0,3,0,0,0,0,0,0,0,0
10907,0,1,0,0,0,0,0,0,0,0
10910,0,0,0,0,0,0,0,1,0,0
